"edad","genero","ciudad","estrato","nivel_educativo","estado_civil","ocupacion","modalidad_trabajo","tiene_hijos","num_hijos","ingreso_mensual","gasto_mensual_delivery","frecuencia_pedidos_mes","ticket_promedio","categoria_preferida","horario_preferido","dia_semana_frecuente","tiempo_usuario_meses","suscripcion_premium","uso_descuentos","calificacion_promedio","tiempo_entrega_promedio","distancia_promedio_km","metodo_pago_principal","dispositivo_principal","pedidos_cancelados_mes","diversidad_restaurantes","pedidos_grupo","propina_promedio_pct","pedidos_madrugada"
40,"Femenino","Medellín",3,"Universitario","Unión Libre","Empleado","Remoto","Sí",2,7964444,2287209,21,107313,"Italiana","Cena","Fin de Semana",9,"No",55,4.4,38,3.5,"Efectivo","Smartphone",1,5,47,6.5,0
32,"Masculino","Bogotá",1,"Secundaria","Casado","Empleado","Presencial","No",0,1315992,170765,4,38811,"Saludable","Cena","Fin de Semana",22,"No",71,4.9,59,4.1,"Efectivo","Smartphone",0,2,40,5.2,24
49,"Femenino","Cartagena",5,"Universitario","Casado","Empleado","Híbrido","Sí",3,17118541,2459200,31,84405,"Comida Rápida","Almuerzo","Entre Semana",8,"No",6,4.2,38,8.1,"Tarjeta Crédito","Smartphone",1,17,84,13.6,13
41,"Femenino","Barranquilla",5,"Técnico","Unión Libre","Empleado","Híbrido","Sí",1,11388937,2380450,41,68638,"Saludable","Almuerzo","Fin de Semana",43,"Sí",56,3.3,38,1.9,"Tarjeta Crédito","Tablet",5,17,65,10,11
33,"Masculino","Bogotá",3,"Universitario","Soltero","Empleado","Presencial","No",0,5043903,338565,9,43422,"Saludable","Cena","Entre Semana",11,"No",45,4.7,43,7.9,"Débito","Smartphone",0,6,0,7,19
27,"Femenino","Bogotá",2,"Técnico","Soltero","Independiente","Remoto","Sí",1,2831485,424145,11,37944,"Comida Rápida","Snack","Fin de Semana",56,"No",62,4.5,49,6.1,"Débito","Smartphone",0,3,86,7.5,17
23,"Femenino","Cartagena",3,"Secundaria","Soltero","Empleado","Híbrido","No",0,2615314,346269,10,34050,"Local","Almuerzo","Entre Semana",37,"No",55,4.9,45,8.2,"Débito","Computador",0,7,0,10.5,19
49,"Femenino","Medellín",2,"Técnico","Soltero","Independiente","Presencial","No",0,2862552,188839,7,25710,"Comida Rápida","Cena","Fin de Semana",49,"No",52,3.8,50,1.1,"Débito","Tablet",1,5,29,5.9,7
18,"Femenino","Bogotá",3,"Técnico","Soltero","Empleado","Presencial","No",0,3425532,527918,9,66329,"Italiana","Almuerzo","Fin de Semana",21,"No",73,3.7,56,4.7,"PSE","Smartphone",1,1,7,5.3,13
41,"Femenino","Cali",3,"Técnico","Divorciado","Independiente","Presencial","No",0,6235400,818389,16,53471,"Saludable","Cena","Fin de Semana",13,"No",68,4.5,27,4.2,"Efectivo","Smartphone",0,7,0,2.1,9
29,"Masculino","Medellín",3,"Universitario","Unión Libre","Empleado","Híbrido","Sí",1,6343768,1505291,26,57184,"Local","Cena","Fin de Semana",50,"Sí",42,4.4,51,8,"Efectivo","Smartphone",1,9,53,6.6,19
40,"Femenino","Barranquilla",2,"Técnico","Soltero","Estudiante","No Aplica","No",0,8e+05,199521,4,55974,"Asiática","Cena","Fin de Semana",39,"No",72,4.8,33,5.3,"Débito","Smartphone",0,1,20,6.6,2
33,"Masculino","Bogotá",4,"Universitario","Soltero","Empleado","Presencial","No",0,10134388,1051400,20,55929,"Saludable","Cena","Fin de Semana",36,"Sí",0,5,56,3.8,"Débito","Smartphone",1,8,35,6.9,13
26,"Masculino","Bogotá",3,"Secundaria","Casado","Independiente","Remoto","Sí",1,2669726,629845,11,60894,"Asiática","Almuerzo","Fin de Semana",18,"No",46,3.7,71,1,"Tarjeta Crédito","Smartphone",1,1,66,5.1,23
36,"Masculino","Medellín",3,"Universitario","Divorciado","Independiente","Remoto","Sí",2,8147450,1653859,30,54664,"Comida Rápida","Cena","Fin de Semana",47,"No",39,4.1,53,0.8,"Efectivo","Tablet",1,13,66,6.4,9
31,"Femenino","Bogotá",3,"Técnico","Unión Libre","Empleado","Remoto","No",0,4374596,877455,21,48920,"Asiática","Cena","Entre Semana",30,"No",60,4.1,37,8.7,"Débito","Smartphone",1,2,44,7.6,4
43,"Femenino","Cali",4,"Universitario","Casado","Empleado","Híbrido","Sí",2,11057093,2279976,44,53038,"Comida Rápida","Snack","Entre Semana",42,"Sí",44,4.6,27,1.4,"Débito","Computador",1,18,72,9.2,8
18,"Masculino","Barranquilla",3,"Técnico","Soltero","Estudiante","No Aplica","No",0,845208,192521,4,50677,"Asiática","Snack","Fin de Semana",55,"No",54,4.1,38,10.2,"Débito","Smartphone",0,1,29,7.4,28
33,"Masculino","Bogotá",4,"Universitario","Soltero","Empleado","Híbrido","No",0,8853482,1889304,34,60660,"Italiana","Cena","Entre Semana",25,"Sí",49,4.4,57,1.5,"Tarjeta Crédito","Smartphone",1,12,30,11.4,11
37,"Masculino","Bogotá",5,"Universitario","Casado","Empleado","Híbrido","Sí",1,16647108,1369534,21,78839,"Italiana","Cena","Fin de Semana",29,"Sí",16,3.6,44,1.4,"Débito","Smartphone",2,6,57,6.9,0
18,"Femenino","Medellín",1,"Universitario","Soltero","Estudiante","No Aplica","No",0,8e+05,95266,2,44766,"Italiana","Almuerzo","Entre Semana",54,"No",64,3.9,43,1.2,"Débito","Smartphone",0,2,35,6.8,24
25,"Masculino","Bogotá",3,"Universitario","Unión Libre","Independiente","Presencial","Sí",1,5723224,1100405,25,55701,"Local","Almuerzo","Entre Semana",15,"Sí",76,5,51,7.1,"Efectivo","Smartphone",1,10,83,6.1,16
50,"Masculino","Cali",1,"Universitario","Casado","Empleado","Híbrido","No",0,2994282,429949,10,37658,"Local","Cena","Fin de Semana",38,"No",90,5,50,1.3,"Tarjeta Crédito","Computador",0,5,24,5.3,9
22,"Masculino","Medellín",3,"Técnico","Soltero","Estudiante","No Aplica","No",0,884330,133250,2,58342,"Italiana","Cena","Entre Semana",49,"No",49,4,40,1.8,"Débito","Smartphone",0,4,59,4,27
25,"Masculino","Medellín",2,"Técnico","Soltero","Independiente","Presencial","No",0,2145103,248928,6,37343,"Comida Rápida","Almuerzo","Entre Semana",53,"No",70,4.5,28,6.2,"Efectivo","Smartphone",0,6,24,7.7,10
24,"Femenino","Medellín",2,"Técnico","Soltero","Desempleado","No Aplica","No",0,8e+05,182920,6,35353,"Comida Rápida","Desayuno","Entre Semana",57,"No",54,4.1,32,1.2,"Débito","Computador",0,1,24,6.6,20
50,"Femenino","Medellín",3,"Técnico","Unión Libre","Independiente","Remoto","No",0,6848083,865958,16,50740,"Saludable","Almuerzo","Entre Semana",44,"No",44,3.8,31,3.1,"Efectivo","Smartphone",1,10,49,10,9
23,"Femenino","Medellín",3,"Técnico","Unión Libre","Empleado","Presencial","No",0,3628674,557355,14,39102,"Saludable","Desayuno","Entre Semana",57,"Sí",27,4.1,39,2.2,"PSE","Smartphone",0,7,56,4.3,16
48,"Femenino","Barranquilla",5,"Posgrado","Casado","Independiente","Remoto","No",0,27145484,653277,22,34558,"Comida Rápida","Almuerzo","Fin de Semana",23,"Sí",40,4.2,50,5.1,"Efectivo","Smartphone",1,10,46,8.1,0
18,"Masculino","Bogotá",4,"Universitario","Soltero","Estudiante","No Aplica","No",0,2343493,315308,5,64428,"Italiana","Snack","Fin de Semana",35,"No",23,3.7,40,0.8,"Débito","Smartphone",0,1,26,7.4,24
32,"Femenino","Cali",4,"Universitario","Soltero","Empleado","Presencial","No",0,8546152,1253211,38,37603,"Comida Rápida","Cena","Fin de Semana",7,"Sí",43,4.2,40,4.9,"Tarjeta Crédito","Smartphone",1,20,25,9.4,7
29,"Masculino","Bogotá",2,"Universitario","Soltero","Desempleado","No Aplica","Sí",1,8e+05,162770,5,38097,"Comida Rápida","Cena","Entre Semana",21,"No",37,4.1,43,4.7,"PSE","Smartphone",0,3,70,9.1,15
26,"Masculino","Cartagena",2,"Secundaria","Casado","Empleado","Remoto","No",0,2060143,466826,13,34026,"Comida Rápida","Almuerzo","Fin de Semana",58,"No",75,4.5,36,1.8,"Débito","Smartphone",0,7,55,6.7,12
24,"Femenino","Bogotá",1,"Secundaria","Soltero","Estudiante","No Aplica","No",0,8e+05,55538,3,18899,"Postres","Cena","Fin de Semana",46,"Sí",63,5,50,0.8,"Tarjeta Crédito","Smartphone",0,1,12,2,26
31,"Masculino","Medellín",2,"Técnico","Soltero","Independiente","Presencial","Sí",1,2548639,753915,9,81117,"Italiana","Almuerzo","Fin de Semana",9,"No",89,3.6,55,4.2,"Tarjeta Crédito","Tablet",1,2,82,7.7,13
