"Estado_civil","Modo_aplicacion","Orden_aplicacion","Curso","Asistencia_nocturna","Cualificacion_previa","Nacionalidad","Cualificacion_madre","Cualificacion_padre","Ocupacion_madre","Ocupacion_padre","Desplazado","Necesidades_educativas_especiales","Deudor","Cuotas_al_dia","Genero","Becado","Edad_al_ingreso","Internacional","Creditos_1er_sem","Inscrito_1er_sem","Evaluaciones_1er_sem","Aprobado_1er_sem","Nota_1er_sem","Sin_evaluacion_1er_sem","Creditos_2do_sem","Inscrito_2do_sem","Evaluaciones_2do_sem","Aprobado_2do_sem","Nota_2do_sem","Sin_evaluacion_2do_sem","Tasa_desempleo","Tasa_inflacion","PIB","Resultado"
"Soltero","Mayores de 23 años",1,"Gestión (asistencia nocturna)","No","Educación secundaria","Portugués","Educación básica 1er ciclo (4º/5º año) o equiv.","Educación básica 1er ciclo (4º/5º año) o equiv.","Trabajadores No Calificados","Trabajadores No Calificados","No","No","No","Sí","Femenimo","Sí",26,"No",0,5,7,0,0,0,0,5,8,0,0,0,16.2,0.3,-0.92,"Desertor"
"Soltero","1ra fase - contingente general",1,"Periodismo y Comunicación","Sí","Educación secundaria","Portugués","Desconocido","Educación Básica 2º Ciclo (6º/7º/8º) o Equiv.","Estudiante","Técnicos y Profesiones de Nivel Intermedio","No","No","No","Sí","Masculino","No",20,"No",0,6,11,4,10.75,0,0,6,13,2,10,0,7.6,2.6,0.32,"Desertor"
"Soltero","3ra fase - contingente general",1,"Gestión","Sí","Educación secundaria","Portugués","Desconocido","Desconocido","Otra Situación","Otra Situación","No","No","No","Sí","Masculino","No",22,"No",0,5,11,3,13.6666666666667,0,0,5,10,3,11.3333333333333,0,9.4,-0.8,-3.12,"Desertor"
"Soltero","Mayores de 23 años",1,"Periodismo y Comunicación","Sí","Educación básica 3er ciclo (9º/10º/11º año) o equiv.","Portugués","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Trabajadores Calificados de la Construcción y Similares, Excepto Electricistas","Agricultores, Ganaderos, Pescadores, Cazadores y Recolectores de Subsistencia","No","No","Sí","No","Femenimo","Sí",24,"No",0,6,6,6,13.5,0,0,6,6,6,13,0,11.1,0.6,2.02,"Graduado"
"Soltero","Transferencia",1,"Ingeniería Informática","Sí","Frecuencia de educación superior","Portugués","No sabe leer ni escribir","No sabe leer ni escribir","Agricultores y Trabajadores Calificados en Agricultura, Pesca y Silvicultura","Agricultores y Trabajadores Calificados en Agricultura, Pesca y Silvicultura","Sí","No","No","Sí","Masculino","No",34,"No",4,6,8,4,11.25,0,1,5,8,2,10.5,0,7.6,2.6,0.32,"Desertor"
"Soltero","1ra fase - contingente general",1,"Diseño de Comunicación","Sí","Educación secundaria","Portugués","Educación Secundaria - 12º Año o Equiv.","Educación básica 1er ciclo (4º/5º año) o equiv.","Trabajadores de Servicios Personales, Seguridad y Protección y Vendedores","Trabajadores No Calificados","Sí","No","Sí","Sí","Femenimo","No",21,"No",0,6,9,5,11.4,0,0,6,8,5,12.2,0,12.7,3.7,-1.7,"Desertor"
"Separado legalmente","Mayores de 23 años",1,"Enfermería","Sí","Educación secundaria","Portugués","Educación básica 1er ciclo (4º/5º año) o equiv.","Educación básica 1er ciclo (4º/5º año) o equiv.","Trabajadores No Calificados","Trabajadores No Calificados","No","No","No","Sí","Femenimo","No",36,"No",0,7,12,4,11.5,0,0,7,14,3,12.3333333333333,0,16.2,0.3,-0.92,"Desertor"
"Casado","Mayores de 23 años",1,"Gestión (asistencia nocturna)","No","Educación básica 3er ciclo (9º/10º/11º año) o equiv.","Portugués","Educación Básica 2º Ciclo (6º/7º/8º) o Equiv.","Educación Básica 2º Ciclo (6º/7º/8º) o Equiv.","Otra Situación","Otra Situación","Sí","No","No","Sí","Masculino","No",45,"No",0,5,5,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,"Desertor"
"Soltero","1ra fase - contingente general",1,"Enfermería Veterinaria","Sí","Educación secundaria","Portugués","Educación básica 1er ciclo (4º/5º año) o equiv.","Educación Básica 2º Ciclo (6º/7º/8º) o Equiv.","Agricultores y Trabajadores Calificados en Agricultura, Pesca y Silvicultura","Trabajadores No Calificados","No","No","No","Sí","Femenimo","No",19,"No",0,5,9,4,13.75,1,0,5,8,4,14.5,0,7.6,2.6,0.32,"Graduado"
"Soltero","Titulares de diploma de ciclo corto",1,"Enfermería Veterinaria","Sí","Curso técnico superior profesional","Portugués","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Educación Básica 2º Ciclo (6º/7º/8º) o Equiv.","Trabajadores No Calificados","Trabajadores No Calificados","No","No","Sí","No","Femenimo","No",21,"No",7,10,15,8,13.75,0,4,9,17,5,13.2,0,8.9,1.4,3.51,"Desertor"
