"Edad","Anios_Educacion","Horas_Trabajo_Semana","Experiencia_Laboral","Personas_Hogar","Ninos_Hogar","Deuda_Total","Ahorros","Estrato_Numerico","Tiempo_Comunidad","Distancia_Trabajo_KM","Calificacion_Profesional","Inversion_Educativa_Anual","Creditos_Bancarios","Servicios_Publicos_Basicos","Motivacion_Personal","Suerte_Personal","Departamento","Genero","Nivel_Educativo","Tipo_Empleo","Acceso_Internet","Estado_Civil","Ingresos_SMMLV"
50,19,45,23,3,1,7212951.15870434,690755.46481035,3,24,22,4,1923927.1579312,0,0.72246579836366,-0.0345337772504171,2.30933216167614,"Valle del Cauca","Masculino","Secundaria","Empleado_Informal","Si","Casado",4.69341606797982
21,8,33,3,4,1,3606489.36256162,2949867.45872179,1,10,0,3,1042254.91046381,0,0.739606895418925,0.013286364855616,-0.539575333241373,"Meta","Masculino","Secundaria","Hogar","No","Soltero",3.05412067976501
46,11,29,27,2,0,6297288.33208686,0,3,17,18,9,908266.223807729,0,0.797949271399612,0.0586589392977563,4.93206334300339,"Sucre","Masculino","Secundaria","Empleado_Informal","No","Casado",3.85092367318796
24,7,47,6,5,1,9580359.0656172,1089933.09082197,1,11,12,2,1761120.66847147,1,0.428607581542377,0.281174724254867,1.3662354554981,"Valle del Cauca","Femenino","Técnica/Tecnológica","Empleado_Formal","Si","Viudo",3.81769725865117
44,9,50,25,3,1,6795699.87003255,4614816.54251624,3,12,0,3,1978950.28968681,0,0.729488987849775,-0.942926110928069,-4.76213347399607,"Huila","Femenino","Universitaria","Empleado_Informal","No","Soltero",4.24941672154493
37,16,41,13,2,1,4933129.17694305,4280220.07811006,6,15,10,8,1347922.84247975,1,0.504474422410095,-0.0567075009604044,-0.105574908666313,"Chocó","Masculino","Universitaria","Empleado_Formal","No","Casado",4.84571355011433
20,10,53,2,4,2,10550509.0424018,1214832.7469754,2,6,41,2,1870786.957152,1,0.505309006049339,0.662177402348897,-2.83000656869262,"La Guajira","Masculino","Técnica/Tecnológica","Independiente","Si","Divorciado",4.02791172761607
32,11,54,14,2,0,9419340.44998602,0,1,5,53,1,537962.334093902,0,0.75867306017413,-0.946352377123769,2.94091753428802,"San Andrés y Providencia","Masculino","Técnica/Tecnológica","Hogar","Si","Casado",4.01052760100964
31,15,49,13,4,0,434500.420894953,5120662.51803069,1,25,22,8,840653.511268899,0,0.492154306691523,-0.160805651960658,-0.829786155372858,"Córdoba","Masculino","Secundaria","Empleado_Informal","No","Soltero",5.27946556717237
42,13,18,14,4,1,6904332.61413589,2859504.20872663,3,16,24,6,607809.448634724,1,0.880329666227297,0.52920358727675,-2.43830826599151,"Sucre","Femenino","Técnica/Tecnológica","Empleado_Informal","No","Soltero",3.72560230963873
53,13,43,35,1,0,6701593.35920867,4728324.37978073,1,6,17,6,0,0,0.340388958160303,0.036021963260352,-2.97129052923992,"Guaviare","Masculino","Secundaria","Empleado_Formal","Si","Soltero",4.7476418836125
51,17,46,30,3,0,6099031.43191389,141009.051030317,5,0,10,6,1391521.54004784,0,0.450969967591659,1.15398835833824,-3.14410050865263,"Atlántico","Femenino","Técnica/Tecnológica","Empleado_Formal","Si","Soltero",4.86566603411997
59,13,41,36,2,0,7830189.67915042,3969743.47315371,1,8,0,6,478413.119341391,1,0.776969860798112,1.17494010887745,-4.62248447351158,"Cauca","Masculino","Secundaria","Hogar","No","Soltero",4.6620559043932
25,11,57,7,1,0,2729815.44930035,5747343.12760558,6,9,10,4,869908.562628229,1,0.941700053116365,0.533940565284848,2.97195699764416,"Sucre","Masculino","Universitaria","Empleado_Formal","Si","Casado",4.81703884132936
40,15,31,14,5,2,8887248.21176675,5489893.08787291,2,7,53,7,331567.322721179,0,0.861039473965475,0.250938581776858,2.40802437765524,"Nariño","Femenino","Secundaria","Empleado_Informal","Si","Casado",4.71648726076539
30,8,40,11,4,1,9199227.72172904,4833459.20185567,3,3,31,5,1057975.97969574,1,0.607855960531082,0.487537848420891,-4.46230766363442,"Nariño","Masculino","Técnica/Tecnológica","Empleado_Informal","No","Unión Libre",2.17848457873059
40,11,47,18,3,2,3090156.89574839,3326393.22391544,2,23,9,2,1157816.39678285,1,0.646275953194576,-0.214793779137523,-0.679081035777926,"Putumayo","Femenino","Universitaria","Empleado_Formal","Si","Soltero",4.79479479392143
25,16,28,0,3,0,0,545116.57137029,1,4,27,7,2159360.0244427,1,0.875152755402712,1.45234716631367,2.65241064596921,"Putumayo","Femenino","Primaria","Empleado_Formal","Si","Casado",3.68211924531593
59,11,31,41,6,0,7961876.25260716,0,1,11,41,4,1289376.44093516,0,0.787865301824323,0.371324002794008,1.48909661220387,"La Guajira","Femenino","Primaria","Independiente","No","Soltero",4.3076000988378
58,11,27,40,3,1,5446018.48065953,0,1,0,21,5,1480471.28301333,1,0.77106914036085,-0.00366446034534526,-3.984985856805,"Valle del Cauca","Femenino","Universitaria","Independiente","No","Unión Libre",3.63146266173519
56,13,44,26,3,0,7473971.57470289,2410846.53008431,1,22,0,7,78766.0209800102,1,0.767614853260842,0.0163165768726966,1.78315784083679,"Cesar","Masculino","Primaria","Empleado_Informal","Si","Soltero",4.62973520756906
53,12,43,35,2,0,8630614.91970592,3258040.76896163,1,12,11,9,897646.574385082,0,0.828468023668303,-0.402548831207944,2.78239405713975,"Huila","Femenino","Técnica/Tecnológica","Independiente","Si","Unión Libre",4.64221631715002
