"sector","etapa","region","modelo_negocio","tiene_angel","anos_operacion","num_empleados","num_rondas","num_paises","num_patentes","inversion_total_millones","ingresos_anuales_millones","valuacion_actual_millones","gasto_rd_porc","crecimiento_usuarios_mensual","cac_usd","ltv_usd","tasa_retencion","nps_score"
"Healthtech","Series A","LATAM","B2C","No",6,99,2,3,29,12.4,3.78,211.21,31.6,20.78,72.17,597.59,36.8,-9.5
"E-commerce","Series A","Asia","B2C","No",6,28,2,4,7,0.1,5.63,39.47,16.3,0,35.11,1304.47,47.8,47.2
"E-commerce","Series A","Asia","B2B2C","Sí",13,176,3,7,17,20.12,9.44,274.61,26.8,11.02,47.18,2685.3,70.2,44.4
"E-commerce","Series A","Asia","B2C","Sí",15,207,2,5,15,24.07,15.08,339.32,15.2,22.03,30.25,879.17,35.9,-13.4
"Fintech","Series A","LATAM","B2C","No",7,78,3,2,5,19.27,6.04,154.01,7.8,0,124.61,1691.78,82.2,68.4
"SaaS","Series A","Norte América","B2B","No",2,31,2,1,14,0.1,2.76,65.1,17.1,0,42.34,4539.85,86.4,8
"E-commerce","Seed","LATAM","B2C","Sí",9,67,1,6,11,1.96,6.01,115.91,13.9,35.04,26.94,1086.78,53.1,1
"Fintech","Series B","Europa","B2B","No",7,180,3,3,10,51.84,6.23,655.82,9.4,0,227.79,5583.59,74.5,-12.6
"Edtech","Seed","Asia","B2B2C","No",2,27,2,1,5,9.27,4.82,47.34,14.2,0,287.84,1377.18,56.7,29.3
"Fintech","Series A","LATAM","B2C","Sí",13,149,3,7,11,18.19,9.4,242.35,20.3,30.07,5,2740.78,57.6,16.8
"Edtech","Series A","Norte América","B2B","Sí",14,139,3,4,8,14.67,5.87,198.26,5.4,9.26,149.81,5057.08,88.9,36.2
"Fintech","Series B","Asia","B2B","No",2,19,3,2,1,13.38,1.1,185.83,10.4,0,197.15,1342.83,50.9,61.7
"Fintech","Series B","Asia","B2C","Sí",15,304,3,8,10,86.24,13.34,1076.3,20.2,15.13,44.84,1458.97,45.1,-2.7
"Edtech","Seed","Asia","B2B","Sí",7,76,1,5,8,8.6,2.18,92.1,5,12.15,244.55,2162.75,77,32.8
"E-commerce","Series A","Norte América","B2B","No",4,34,2,1,5,5.72,2.63,141.72,13.6,7.34,111.57,3064.65,76.3,30.7
"Healthtech","Seed","Europa","B2C","Sí",4,30,1,3,6,7.49,0,49.14,10.2,0,101.57,371.24,43.8,67.2
"Edtech","Series A","LATAM","B2B","Sí",13,154,3,6,12,4.6,7.14,172.04,21.9,13.99,5,2112.24,83.3,17.3
"Healthtech","Series A","Norte América","B2C","No",10,159,2,4,17,14.22,3.89,216.7,10.3,15.82,126.23,1036.63,54.7,-22.3
"E-commerce","Series B","Asia","B2B","No",12,249,4,7,8,94.81,8.07,1061.13,6.7,0,115.07,6124.51,87,36.4
"Edtech","Seed","LATAM","B2C","Sí",12,110,1,4,10,6.47,0.88,110.43,7.3,4.63,127.75,688.94,36,14.7
"E-commerce","Series B","LATAM","B2C","Sí",4,82,3,3,3,16.32,6.89,286,8.7,8.43,10.33,2663.95,63,32.1
"Fintech","Series A","Norte América","B2C","Sí",11,140,2,4,10,16.01,6.55,193.34,15.6,12.96,75.51,1431.44,49.7,-11.9
"SaaS","Series B","Europa","B2B","No",10,250,3,4,17,38.79,6.94,608.53,5.6,11.69,139.38,3060.99,50,64.6
"E-commerce","Seed","Norte América","B2B","Sí",14,111,1,4,12,0.22,6.98,50.09,10.8,0,200.35,4539.59,58.5,-38.4
"Fintech","Series A","Norte América","B2C","No",4,51,3,3,5,9.62,0.45,132.75,21.4,24.35,48.99,50,61.1,-4.6
"Edtech","Series C+","LATAM","B2B","No",4,4,6,2,6,25.69,0,450.35,24.8,3.64,177.88,1021.29,33.3,-21.4
"Fintech","Series A","Norte América","B2C","Sí",14,180,2,5,9,15.75,11.06,212.3,14.2,2.19,15.69,1890.5,48,24.6
"E-commerce","Seed","Norte América","B2B","No",10,95,2,2,9,2.57,4.81,61.18,23.1,12.7,269.56,3192.84,67.2,-16.1
"Healthtech","Series B","Norte América","B2B2C","No",9,186,4,5,43,24.16,8.28,570.99,32.7,9.41,134.96,3007.21,64.3,9.4
"SaaS","Seed","Norte América","B2C","No",14,96,2,5,21,3.36,12.93,133.42,25.5,0,20.27,1716.32,77.8,-12.5
"E-commerce","Series B","LATAM","B2B","Sí",1,66,4,1,3,12.26,5.1,204.54,5,3.21,184.1,2068.54,49.6,11.3
"Edtech","Series A","Norte América","B2C","No",15,179,2,6,12,19.29,5.66,195.43,14,10.49,52.79,1602.67,38.5,-19.7
"Fintech","Seed","Asia","B2B","No",3,20,1,3,4,8.66,2.73,24.79,23,4.37,137.9,2023.69,49,-1.1
"E-commerce","Series A","Europa","B2C","Sí",14,144,3,7,9,15.75,12.72,222.05,5,11.23,32.15,1776.37,43,13.1
"SaaS","Series A","Norte América","B2B","Sí",5,39,3,1,13,29,0,197.11,14.8,6.82,193.91,1778.7,58.5,-35.6
"Edtech","Seed","Norte América","B2C","Sí",6,32,1,4,8,9.31,0.48,34.91,16.2,0,53.79,902.83,39.6,27.7
"E-commerce","Series B","Europa","B2C","No",10,188,4,5,12,63.42,9.84,750.23,14.5,14.05,51.5,1433.1,39.2,18.1
"Fintech","Seed","LATAM","B2B","No",8,91,2,4,5,6.33,6.61,39.51,13,3.84,309.43,1423.93,70.2,48.8
"Fintech","Seed","LATAM","B2B2C","No",11,99,1,5,9,2.54,10.22,50.38,8.9,1.17,62.58,4023.27,55.9,18.2
"Fintech","Series A","Europa","B2B","Sí",14,185,3,6,10,22.89,13.3,282.26,10.9,0,266.98,6196.11,84.1,-29
"SaaS","Series A","Europa","B2B2C","No",11,113,2,5,19,9,4.63,178.91,17,0,134.17,1116.16,37.6,81.4
"Healthtech","Series A","Norte América","B2B2C","No",15,178,3,6,39,26.55,3.48,324.12,21.2,0,208.53,2553.74,63.4,27.9
"E-commerce","Series A","Norte América","B2B2C","Sí",12,171,3,3,12,24.81,11.58,271.1,16.4,1.57,157.49,4074.64,57.1,52.8
"Edtech","Series A","Europa","B2B2C","Sí",4,45,2,1,9,16.86,4.3,164.46,19.7,5.68,48.6,1699.52,53.9,9.4
"Edtech","Series A","Europa","B2C","Sí",10,148,2,3,14,24.53,2.04,216.65,27.8,11.79,61.47,965.84,67.9,22.7
"Edtech","Series B","Norte América","B2C","No",9,166,4,7,10,73.02,3.13,872.4,22.6,12.98,5,625.11,40.7,2.5
"SaaS","Series A","Norte América","B2B","Sí",11,141,3,4,35,23.52,6.7,330.12,43.1,12.08,78.23,2945.28,62.5,18.6
"Healthtech","Series B","Europa","B2B2C","Sí",13,269,4,6,33,65.8,5.78,977.56,22.9,10.46,137.83,1269.97,65.8,45.9
"Healthtech","Seed","Norte América","B2C","No",5,34,2,3,26,2.03,4.33,81.95,27.8,16.21,89.79,1263.7,68,32.4
"Fintech","Series C+","Europa","B2C","Sí",10,341,4,10,6,266.97,14.93,4745.96,5.4,8.06,66.49,2000.47,54.7,54.4
"Edtech","Seed","Norte América","B2B","No",12,150,1,5,6,9.68,8.33,135.62,15.5,25.88,261.29,5091.59,80.5,56.9
"E-commerce","Seed","Norte América","B2B","No",10,70,1,4,8,5.75,5.79,78.72,8.5,0,259.39,3596.92,73.5,51.2
"E-commerce","Seed","LATAM","B2B","Sí",11,112,2,5,10,10.69,7.17,85.85,15.4,0,254.29,2681.72,67.6,21.2
