CustomerID,Age,Gender,Region,CustomerSince_days,MembershipLevel,AcquisitionSource,DeviceType,TimeOnSite_min,PagesViewed,LastLogin_days,NumPurchases_lifetime,CustomerSupportInteractions,ReturnedItems_last_purchase,ItemsInCart,UsedDiscount,ShippingType,TotalPurchase_USD,AvgItemValue_USD
1001,43,Femenino,Norte,1295,Oro,Email,Movil,4.8,4,13,6,0,1,4,Sí,Estandar,128.19,32.05
1002,56,Femenino,Sur,1303,Oro,Anuncio Pago,Desktop,24.4,14,13,6,0,0,7,Sí,Estandar,236,33.71
1003,52,Masculino,Este,296,Plata,Anuncio Pago,Movil,5.5,4,31,2,0,0,8,No,Express,246.85,30.86
1004,21,Femenino,Este,621,Plata,Busqueda Organica,Movil,7.6,6,17,4,1,0,2,No,Express,111.03,55.52
1005,32,Femenino,Norte,436,Plata,Anuncio Pago,Movil,11.4,11,2,1,1,0,1,No,Estandar,66.3,66.3
1006,38,No Binario,Norte,1429,Oro,Anuncio Pago,Movil,13.3,7,45,5,0,0,6,Sí,Estandar,166.37,27.73
1007,37,Femenino,Este,811,Oro,Email,Desktop,16.2,11,19,9,2,0,6,Sí,Estandar,183.53,30.59
1008,56,Masculino,Sur,832,Oro,Anuncio Pago,Desktop,16.1,14,26,9,0,0,8,Sí,Estandar,225.33,28.17
1009,34,Femenino,Sur,1195,Oro,Busqueda Organica,Movil,10.2,8,19,8,0,0,2,Sí,Estandar,81.64,40.82
1010,43,Femenino,Oeste,1446,Oro,Anuncio Pago,Movil,4.3,4,17,6,1,1,4,Sí,Estandar,87.53,21.88
1011,18,Masculino,Sur,139,Bronce,Redes Sociales,Desktop,11.3,8,15,1,0,1,4,Sí,Express,119.91,29.98
1012,19,Masculino,Oeste,267,Bronce,Busqueda Organica,Desktop,19.7,14,10,1,0,0,5,No,Estandar,136.3,27.26
1013,41,No Binario,Sur,1359,Oro,Busqueda Organica,Movil,2.4,3,24,8,0,0,1,No,Estandar,75.51,75.51
1014,54,Masculino,Oeste,1131,Oro,Anuncio Pago,Desktop,10.2,13,10,4,0,0,2,Sí,Estandar,120.64,60.32
1015,43,Femenino,Norte,147,Plata,Anuncio Pago,Tablet,9.4,13,12,3,1,0,4,Sí,Express,181.82,45.45
1016,19,Femenino,Norte,64,Plata,Busqueda Organica,Desktop,28.1,17,6,2,0,0,11,No,Estandar,279.06,25.37
1017,41,Femenino,Oeste,102,Bronce,Busqueda Organica,Movil,14,12,31,1,1,0,6,No,Estandar,117.55,19.59
1018,29,Masculino,Este,8,Bronce,Email,Desktop,28.8,18,31,1,0,1,5,No,Estandar,170.67,34.13
1019,26,Femenino,Oeste,30,Bronce,Email,Tablet,7.1,6,35,1,0,0,5,No,Estandar,137.38,27.48
1020,30,Masculino,Este,963,Oro,Anuncio Pago,Desktop,5.8,7,25,7,0,1,5,Sí,Estandar,110.58,22.12
1021,23,Masculino,Este,577,Plata,Redes Sociales,Desktop,8,5,5,3,1,0,10,Sí,Estandar,189.86,18.99
1022,39,Femenino,Sur,306,Bronce,Anuncio Pago,Desktop,11.1,11,5,1,0,0,3,No,Dia Siguiente,147.42,49.14
1023,49,Masculino,Sur,1062,Oro,Busqueda Organica,Movil,9.1,8,6,7,0,0,7,Sí,Express,192.57,27.51
1024,51,Femenino,Oeste,1232,Oro,Busqueda Organica,Desktop,15.2,15,10,5,1,0,6,Sí,Express,116.36,19.39
1025,35,Masculino,Este,1336,Oro,Busqueda Organica,Movil,16.4,12,7,7,4,0,3,No,Estandar,91.69,30.56
1026,45,Masculino,Norte,263,Bronce,Busqueda Organica,Movil,7.9,6,36,1,0,0,3,No,Express,123.68,41.23
1027,52,Masculino,Norte,67,Bronce,Busqueda Organica,Movil,9.2,6,14,1,0,0,3,No,Estandar,118.37,39.46
1028,31,Femenino,Este,57,Bronce,Busqueda Organica,Tablet,10.7,10,17,1,0,0,2,No,Dia Siguiente,89.82,44.91
1029,19,Masculino,Sur,712,Plata,Email,Desktop,7.1,6,13,3,1,0,5,No,Estandar,119.38,23.88
1030,42,No Binario,Norte,655,Plata,Anuncio Pago,Movil,6.7,9,13,3,0,0,9,Sí,Estandar,101.27,11.25
1031,38,Femenino,Sur,244,Plata,Anuncio Pago,Tablet,8.2,11,7,2,0,0,3,No,Dia Siguiente,130.95,43.65
1032,29,Femenino,Sur,1270,Oro,Busqueda Organica,Movil,13.6,8,27,4,0,0,6,Sí,Estandar,126.56,21.09
1033,38,Femenino,Norte,1273,Oro,Anuncio Pago,Movil,12.7,12,32,9,0,0,3,No,Estandar,106.01,35.34
1034,39,Masculino,Sur,618,Plata,Busqueda Organica,Tablet,10.1,10,17,3,0,0,7,No,Dia Siguiente,151.66,21.67
1035,34,Masculino,Norte,1115,Oro,Redes Sociales,Movil,8.9,8,20,8,0,0,2,Sí,Express,111.19,55.59
1036,41,Femenino,Oeste,762,Oro,Busqueda Organica,Desktop,14.5,11,26,6,1,0,4,Sí,Estandar,134.63,33.66
1037,18,Masculino,Este,1366,Oro,Busqueda Organica,Desktop,21.4,24,4,10,0,0,7,Sí,Estandar,217.22,31.03
1038,23,Masculino,Sur,1227,Oro,Anuncio Pago,Movil,4.1,5,33,7,3,1,5,Sí,Express,91.79,18.36
1039,32,Femenino,Norte,1092,Oro,Busqueda Organica,Movil,13.9,8,26,6,0,0,1,Sí,Estandar,111.59,111.59
1040,47,Masculino,Sur,1237,Oro,Redes Sociales,Movil,6,5,4,10,1,0,2,Sí,Estandar,101.87,50.94
1041,31,Femenino,Sur,1384,Oro,Busqueda Organica,Movil,16.1,15,45,11,1,0,5,Sí,Estandar,126.78,25.36
1042,18,Masculino,Norte,789,Plata,Redes Sociales,Desktop,18.1,13,13,3,1,0,3,No,Estandar,94.57,31.52
